Mrk334         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  76.66;  1.77;3x3;
Mrk938         ; ;      ;      ; ;       ;      ; ;   78.12;  6.36; ;  19.24; 3.58; ;       ;     ; ;   5.26; 0.92; ;  82.15;  1.51;3x3;
IRAS00182-7112 ; ;      ;      ; ;       ;      ; ;    7.10;  1.67;<;   2.04;     ; ;       ;     ; ;       ;     ; ;       ;      ;c  ;
IRAS00198-7926 ; ;      ;      ; ;       ;      ; ;   22.63;  5.16; ;  12.51; 4.50; ;       ;     ; ;       ;     ; ;  32.64;  1.75;3x3;
NGC185         ; ;      ;      ; ;       ;      ; ;    2.16;  0.77; ;       ;     ; ;       ;     ; ;       ;     ; ;   8.14;  0.32;3x3;
ESO012-G21     ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  67.52;  1.51;3x3;
Mrk348         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;   2.56; 0.48; ;       ;      ;3x3;
IZw1           ; ;      ;      ; ;       ;      ; ;    6.82;  3.19;<;   4.30;     ; ;       ;     ; ;       ;     ; ;  13.93;  1.10;3x3;
IRAS00521-7054 ; ;      ;      ; ;       ;      ; ;    7.22;  0.79; ;   2.60; 1.01; ;       ;     ; ;       ;     ; ;   4.34;  0.77;c  ;
ESO541-IG12    ; ;      ;      ; ;       ;      ; ;    2.05;  0.46; ;   2.95; 0.26; ;       ;     ; ;       ;     ; ;   6.05;  0.45;c  ;
IRAS01003-2238 ;<;  6.45;      ;<;   1.89;      ; ;    8.06;  1.87; ;       ;     ;<;   1.20;     ; ;   0.93; 0.25; ;   6.18;  0.76;c  ;
NGC454E        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  10.87;  0.77;3x3;
IRAS01364-1042 ; ;      ;      ; ;       ;      ; ;   20.13;  5.91; ;       ;     ; ;       ;     ; ;       ;     ; ;  20.01;  3.53;3x3;
IIIZw35        ; ;      ;      ; ;       ;      ; ;   16.68;  6.67; ;   6.67; 3.24; ;       ;     ; ;       ;     ; ;  27.47;  2.27;3x3;
Mrk1014        ; ;  3.77;  1.10;<;   2.49;      ; ;    5.39;  1.42; ;       ;     ; ;   1.17; 0.31; ;   0.72; 0.18; ;   5.21;  0.37;c  ;
NGC788         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   8.59;  0.69;3x3;
Mrk590         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  20.59;  0.38;3x3;
IC1816         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  38.34;  0.63;3x3;
NGC973         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  34.12;  1.11;3x3;
NGC1068        ; ;369.41; 34.74; ; 443.65; 41.95; ;  946.69; 25.68; ; 634.33;19.71; ; 294.47; 2.98; ;  66.43; 1.50; ;1360.66; 10.41;3x3;
NGC1097        ; ;      ;      ; ;       ;      ; ;  251.79; 15.16; ;  59.13; 5.83; ; 164.04; 1.66; ;       ;     ; ; 653.26;  3.33;3x3;
NGC1144        ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;   4.59; 1.56; ;       ;      ;3x3;
Mrk1066        ; ;      ;      ; ;       ;      ; ;  151.17;  6.86; ;  32.10; 3.21; ;  14.76; 1.14; ;   9.29; 1.23; ; 114.33;  1.66;3x3;
Mrk1073        ; ; 78.53;  9.68; ;       ;      ; ;   81.60;  6.61; ;  66.59; 3.39; ;       ;     ; ;       ;     ; ; 161.85;  1.98;3x3;
NGC1266        ; ;      ;      ; ;       ;      ; ;   45.62; 18.10;<;  28.24;     ; ;  21.20;10.81; ;       ;     ; ;  68.81;  1.59;3x3;
NGC1275        ; ;      ;      ;<;   8.30;      ; ;  169.31; 11.27; ;   7.91; 2.10; ;  10.75; 2.04; ;  12.42; 1.57; ; 115.85;  2.13;3x3;
Mrk609         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  63.49;  0.90;3x3;
NGC1365        ; ;      ;      ; ; 131.59; 16.71; ;  425.09; 14.09; ; 200.31; 8.10; ; 254.83; 3.79; ;  34.76; 1.76; ;1104.51;  3.26;3x3;
NGC1386        ; ;      ;      ; ;  22.32;  2.26; ;   37.10;  8.87; ;  24.39; 4.42; ;  11.16; 1.38; ;   3.90; 0.76; ;  64.05;  1.60;3x3;
IRAS03450+0055 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   2.45;  0.22;3x3;
IRAS04103-2838 ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  12.46;  1.55;3x3;
ESO420-G13     ; ;      ;      ; ;       ;      ; ;  102.98;  7.45; ;  33.27; 4.93; ;       ;     ; ;       ;     ; ; 169.65;  2.60;3x3;
3C120          ; ; 41.80;  2.18; ;       ;      ; ;   17.98;  1.04; ;  59.47; 1.02; ;   1.71; 0.57; ;   1.02; 0.21; ;  31.20;  0.63;c  ;
MCG-05-12-006  ; ;      ;      ; ;       ;      ; ;   32.51;  3.18; ;   6.14; 3.12; ;   6.33; 1.25; ;       ;     ; ;  46.00;  1.43;3x3;
Zw468.002NED01 ; ;      ;      ; ;       ;      ; ;   21.15;  2.89; ;       ;     ; ;       ;     ; ;       ;     ; ;  22.74;  0.61;3x3;
Zw468.002NED02 ; ;      ;      ; ;       ;      ; ;   28.87;  3.11; ;  14.19; 1.20; ;       ;     ; ;       ;     ; ;  63.25;  1.23;3x3;
IRAS05189-2524 ; ;      ;      ;<;  12.03;      ; ;   15.30;  2.30; ;   3.44; 1.33; ;   2.92; 0.60; ;   1.36; 0.57; ;  16.29;  1.32;c  ;
NGC1961        ; ;      ;      ; ;       ;      ; ;   28.83;  2.67; ;   6.00; 2.25; ;   6.20; 1.80; ;       ;     ; ; 102.53;  1.68;3x3;
UGC3351        ; ;      ;      ; ;       ;      ; ;   76.17;  7.48; ;  42.48; 3.96; ;  36.09; 1.69; ;       ;     ; ; 308.62;  2.57;3x3;
ESO005-G04     ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;   5.26; 0.99; ;       ;      ;3x3;
Mrk3           ; ;114.84; 46.53; ;  19.64;  3.93; ;  144.72;  9.71; ;  58.49; 2.94; ;  10.20; 1.47; ;   9.36; 0.97; ;  52.33;  0.72;3x3;
IRASF06361-6217; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;   4.01;  0.92;3x3;
Mrk620         ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  79.39;  0.61;3x3;
IRAS07027-6011 ; ;      ;      ; ;       ;      ; ;   16.22;  2.61; ;   5.78; 0.75; ;       ;     ; ;       ;     ; ;  33.39;  0.82;3x3;
AM0702-601NED02; ;      ;      ; ;       ;      ; ;   43.13;  2.98; ;  17.58; 2.09; ;       ;     ; ;       ;     ; ;  83.07;  1.31;3x3;
Mrk9           ; ;      ;      ; ;       ;      ; ;        ;      ; ;       ;     ; ;       ;     ; ;       ;     ; ;  13.16;  0.47;3x3;
