Mrk334        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.83; 0.23; ;3x3;
Mrk938        ;       ;     ;       ;    ; ;  18.11; 0.51; ;  19.23;0.31; ;       ;    ; ; 11.54;0.16; ; 10.39; 0.17; ;3x3;
IRAS00182-7112;       ;     ;       ;    ; ;   1.49; 0.04; ;   1.09;0.03; ;       ;    ; ;      ;    ; ;      ;     ; ;c  ;
IRAS00198-7926;       ;     ;       ;    ; ;   2.85; 0.49; ;   2.56;0.32; ;       ;    ; ;      ;    ; ;  1.34; 0.21; ;3x3;
NGC185        ;       ;     ;       ;    ; ;   1.22; 0.11; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.67; 0.09; ;3x3;
ESO012-G21    ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.79; 0.18; ;3x3;
Mrk348        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;  1.11;0.07; ;      ;     ; ;3x3;
IZw1          ;       ;     ;       ;    ; ;   2.20; 0.31; ;   2.28;0.16; ;       ;    ; ;      ;    ; ;  1.72; 0.17; ;3x3;
IRAS00521-7054;       ;     ;       ;    ; ;   0.81; 0.07; ;   0.65;0.10; ;       ;    ; ;      ;    ; ;  0.29; 0.10; ;c  ;
ESO541-IG12   ;       ;     ;       ;    ; ;   0.54; 0.04; ;   0.60;0.04; ;       ;    ; ;      ;    ; ;  0.53; 0.08; ;c  ;
IRAS01003-2238;   2.06; 0.10;   2.12;0.04; ;   1.83; 0.13; ;       ;    ; ;   0.93;0.04; ;  0.65;0.03; ;  0.44; 0.08; ;c  ;
NGC454E       ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.84; 0.12; ;3x3;
IRAS01364-1042;       ;     ;       ;    ; ;   6.64; 0.36; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.96; 0.43; ;3x3;
IIIZw35       ;       ;     ;       ;    ; ;  13.50; 0.64; ;  12.44;0.29; ;       ;    ; ;      ;    ; ;  7.54; 0.29; ;3x3;
Mrk1014       ;   2.00; 0.07;   1.94;0.08; ;   2.22; 0.09; ;       ;    ; ;   1.35;0.04; ;  0.89;0.02; ;  1.02; 0.05; ;c  ;
NGC788        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  0.56; 0.13; ;3x3;
Mrk590        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  1.38; 0.07; ;3x3;
IC1816        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.29; 0.11; ;3x3;
NGC973        ;       ;     ;       ;    ; ;       ;     ; ;       ;    ; ;       ;    ; ;      ;    ; ;  2.21; 0.13; ;3x3;
NGC1068       ;  91.28; 0.90; 139.66;1.22; ; 152.57; 1.15; ; 178.94;0.98; ; 178.96;0.22; ;147.36;0.16; ;134.77; 1.12; ;3x3;
