Mrk334         ; 0; 3; 9.6038;+;21;57;36.8064; 0.0219450;  96.600;29;S1.8 ; ;     ; ;  ; ;41.16; ;41.09; ;41.22;     ;     ;  ;UGC00006          ;
Mrk938         ; 0;11; 6.5412;-;12; 6;27.6624; 0.0196170;        ;  ;S2   ; ;42.33;N;25;<;40.24;<;39.47;<;39.72;     ;     ;  ;NGC17, NGC34      ;
IRAS00182-7112 ; 0;20;34.7210;-;70;55;26.2488; 0.3269990;        ;  ;S2   ; ;43.90;Y;44;<;41.63;<;41.82;<;42.06;     ;     ;  ;                  ;
IRAS00198-7926 ; 0;21;53.6141;-;79;10; 7.9572; 0.0728000;        ;  ;S2   ; ;     ; ;  ; ;42.17; ;42.13; ;42.60;     ;     ;  ;LEDA089877        ;
NGC185         ; 0;38;57.8837;+;48;20;14.6616;-0.0006740;   0.658;34;S2   ;<;35.92; ;26; ;     ; ;     ; ;     ;     ;     ;  ;UGC00396          ;
ESO012-G21     ; 0;40;46.1371;-;79;14;24.3204; 0.0328390;        ;  ;S1.5 ; ;43.07;N;17; ;40.86; ;41.02; ;41.56;     ;     ;  ;IRAS00392-7930    ;
Mrk348         ; 0;48;47.1468;+;31;57;25.1280; 0.0150340;        ;  ;S1h  ; ;42.89;N; 1; ;40.43; ;40.36; ;40.91;     ;     ;  ;NGC262            ;
IZw1           ; 0;53;34.9236;+;12;41;35.9232; 0.0612000;        ;  ;S1n  ; ;43.76;N; 6; ;41.58;<;41.05; ;41.87;     ;     ;  ;UGC00545          ;
IRAS00521-7054 ; 0;53;56.2310;-;70;38; 4.2216; 0.0689000;        ;  ;S1h  ; ;43.59;N;59; ;41.79; ;41.41; ;41.96;     ;     ;  ;LEDA089511        ;
ESO541-IG12    ; 1; 2;17.3818;-;19;40; 8.6556; 0.0565520;        ;  ;S2   ; ;     ; ;  ; ;41.19; ;40.91; ;41.54;     ;     ;  ;IRAS00598-1956    ;
IRAS01003-2238 ; 1; 2;49.9894;-;22;21;57.2616; 0.1178350;        ;  ;S2   ; ;41.78;N;60;<;41.00;<;41.00;<;41.00;     ;     ;  ;                  ;
NGC454E        ; 1;14;24.9300;-;55;23;49.2936; 0.0121580;        ;  ;S2   ; ;42.40;N;34; ;40.05; ;40.23; ;40.68;     ;     ;  ;                  ;
IRAS01364-1042 ; 1;38;52.8629;-;10;27;11.5848; 0.0482470;        ;  ;LIN  ; ;41.00; ;28; ;     ; ;     ; ;41.61;     ;     ;  ;LEDA101303        ;
IIIZw35        ; 1;44;30.5400;+;17; 6; 8.8056; 0.0274360;        ;  ;S2   ; ;40.05;Y;19;<;39.86;<;40.78;<;40.75;     ;     ;  ;IRASF01417+1651   ;
