Mrk334        ;  ; 11.00; 2.00; ;  30.00; 8.00; ; 13.00; 2.00; ;  26.00; 3.00; ; 23.00; 5.00; ; 11.00; 2.00; ;  15.00; 3.00; ;  90.00; 8.00; ;       ;     ;LR   ;11              ;
Mrk938        ; <;  1.46;     ; ;  52.10; 1.45;<;  2.19;     ; ;   6.37; 0.55; ;  7.56; 0.64;<;  0.37;     ;<;   0.66;     ;<;  10.70;     ; ;  40.50; 4.21;HR+LR;41,11           ;
IRAS00182-7112; <;  0.08;     ; ;   6.30; 0.30;<;  0.13;     ; ;   2.10; 0.20; ;  0.23; 0.03;<;  0.20;     ;<;   0.35;     ; ;       ;     ; ;       ;     ;HR   ;39              ;
IRAS00198-7926;  ;  8.10; 0.40; ;   6.19; 0.32; ; 12.27; 0.28; ;  14.03; 0.31; ;  5.41; 0.33; ; 11.38; 0.39; ;  33.03; 0.49; ;  17.13; 1.59; ;       ;     ;HR   ;40              ;
NGC185        ;  ;      ;     ; ;       ;     ; ;      ;     ; ;       ;     ; ;      ;     ; ;      ;     ; ;       ;     ; ;       ;     ; ;       ;     ;HR   ;47,b            ;
ESO012-G21    ;  ;  2.50; 0.31; ;  11.95; 0.22; ;  3.19; 0.26; ;   6.42; 0.30; ;  5.63; 0.45; ;  4.61; 0.11; ;  15.98; 0.18; ;  11.20; 0.55; ;  26.80; 0.96;HR   ;40              ;
Mrk348        ;  ;  7.16; 0.43; ;  16.40; 0.35; ;  5.82; 0.35; ;  20.40; 0.38; ;  7.00; 0.55; ;  4.95; 0.36; ;  17.60; 0.42; ;  12.20; 1.12; ;   9.81; 1.21;HR   ;41,44           ;
IZw1          ;  ;  6.95; 0.31; ;   2.40; 0.20; ;  4.56; 0.34; ;   6.26; 0.23;<;  2.37;     ;<;  1.35;     ; ;   8.92; 0.64; ;   5.29; 0.19; ;       ;     ;HR   ;42              ;
IRAS00521-7054;  ;  1.38; 0.15; ;   5.80; 0.25; ;  5.78; 0.29; ;   8.13; 0.42; ;      ;     ; ;  2.42; 0.26; ;   8.63; 0.37; ;   3.75; 0.98; ;       ;     ;HR   ;40              ;
ESO541-IG12   ;  ;  2.03; 0.39; ;   1.87; 0.24; ;  2.21; 0.24; ;   2.02; 0.34; ;  1.65; 0.20; ;  1.16; 0.33; ;   4.98; 0.30; ;       ;     ; ;   4.66; 0.94;HR   ;40              ;
IRAS01003-2238;  ;  0.21; 0.02; ;   3.14; 0.31;<;  0.30;     ; ;   1.31; 0.13;<;  0.90;     ;<;  0.30;     ;<;   0.30;     ; ;       ;     ; ;       ;     ;HR   ;18              ;
NGC454E       ;  ;      ;     ; ;   4.70; 0.40; ;  3.73; 0.14; ;   6.40; 0.17; ;      ;     ; ;  5.54; 0.31; ;  15.80; 0.85; ;       ;     ; ;       ;     ;HR   ;44              ;
IRAS01364-1042;  ;      ;     ; ;  16.13; 0.78; ;      ;     ; ;   3.35; 0.28; ;  1.54; 0.30; ;      ;     ; ;   8.08; 0.43; ;  20.31; 0.84; ;       ;     ;HR   ;14              ;
IIIZw35       ;  ;  0.15; 0.02; ;   4.17; 0.42;<;  0.46;     ; ;   0.41; 0.04; ;  0.94; 0.09;<;  3.84;     ;<;   3.52;     ;<;  24.62;     ; ;  19.43; 1.90;HR   ;46              ;
Mrk1014       ;  ;  3.69; 0.37; ;   6.57; 0.66; ;  7.40; 0.74; ;   9.71; 0.97;<;  1.50;     ; ;  4.96; 0.50; ;  13.00; 1.30; ;       ;     ; ;       ;     ;HR   ;18              ;
NGC788        ;  ;      ;     ; ;   6.59; 0.11; ;  5.35; 0.34; ;  13.60; 0.50; ;      ;     ; ;  8.68; 1.28; ;  24.14; 0.36; ;       ;     ; ;       ;     ;HR   ;44,26           ;
Mrk590        ; <;  1.40;     ; ;   3.55; 0.87; ;  1.21; 0.59; ;   2.09; 0.62;<;  0.56;     ;<;  0.92;     ; ;   2.93; 0.36;<;   2.86;     ;<;   2.68;     ;HR   ;47              ;
